frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
0.0000,6.2394,0.0000,6.2394,0.0000
5.8579,5.3946,-0.8067,5.3946,-0.8067
11.7159,5.7602,2.9142,5.7602,2.9142
17.5738,6.6715,2.7037,6.6715,2.7037
23.4318,7.5645,-1.3965,7.5645,-1.3965
29.2897,8.2136,-8.1292,8.2136,-8.1292
35.1477,8.5403,-16.4238,8.5403,-16.4238
41.0056,8.5234,-25.4568,8.5234,-25.4568
46.8636,8.1675,-34.5710,8.1675,-34.5710
52.7215,7.4926,-43.2256,7.4926,-43.2256
58.5794,6.5286,-50.9702,6.5286,-50.9702
64.4374,5.3113,-57.4225,5.3113,-57.4225
70.2953,3.8795,-62.2363,3.8795,-62.2363
76.1533,2.2777,-65.0589,2.2777,-65.0589
82.0112,0.5642,-65.4955,0.5642,-65.4955
87.8692,-1.1701,-63.1206,-1.1701,-63.1206
93.7271,-2.7772,-57.6372,-2.7772,-57.6372
99.5851,-4.0510,-49.2830,-4.0510,-49.2830
105.4430,-4.8053,-39.2554,-4.8053,-39.2554
111.3010,-5.0087,-29.3981,-5.0087,-29.3981
117.1589,-4.8056,-21.1248,-4.8056,-21.1248
123.0168,-4.3906,-14.8630,-4.3906,-14.8630
128.8748,-3.9059,-10.3828,-3.9059,-10.3828
134.7327,-3.4280,-7.2634,-3.4280,-7.2634
140.5907,-2.9899,-5.1207,-2.9899,-5.1207
146.4486,-2.6017,-3.6634,-2.6017,-3.6634
152.3066,-2.2633,-2.6848,-2.2633,-2.6848
158.1645,-1.9705,-2.0415,-1.9705,-2.0415
164.0225,-1.7178,-1.6342,-1.7178,-1.6342
169.8804,-1.4996,-1.3939,-1.4996,-1.3939
175.7383,-1.3110,-1.2724,-1.3110,-1.2724
181.5963,-1.1476,-1.2354,-1.1476,-1.2354
187.4542,-1.0056,-1.2586,-1.0056,-1.2586
193.3122,-0.8818,-1.3244,-0.8818,-1.3244
199.1701,-0.7736,-1.4202,-0.7736,-1.4202
205.0281,-0.6788,-1.5367,-0.6788,-1.5367
210.8860,-0.5953,-1.6672,-0.5953,-1.6672
216.7440,-0.5217,-1.8069,-0.5217,-1.8069
222.6019,-0.4566,-1.9520,-0.4566,-1.9520
228.4598,-0.3988,-2.0999,-0.3988,-2.0999
234.3178,-0.3475,-2.2489,-0.3475,-2.2489
240.1757,-0.3017,-2.3974,-0.3017,-2.3974
246.0337,-0.2607,-2.5445,-0.2607,-2.5445
251.8916,-0.2240,-2.6895,-0.2240,-2.6895
257.7496,-0.1911,-2.8320,-0.1911,-2.8320
263.6075,-0.1615,-2.9716,-0.1615,-2.9716
269.4655,-0.1348,-3.1082,-0.1348,-3.1082
275.3234,-0.1106,-3.2418,-0.1106,-3.2418
281.1814,-0.0888,-3.3722,-0.0888,-3.3722
287.0393,-0.0690,-3.4996,-0.0690,-3.4996
292.8972,-0.0510,-3.6240,-0.0510,-3.6240
298.7552,-0.0346,-3.7455,-0.0346,-3.7455
304.6131,-0.0197,-3.8642,-0.0197,-3.8642
310.4711,-0.0061,-3.9802,-0.0061,-3.9802
316.3290,0.0064,-4.0937,0.0064,-4.0937
322.1870,0.0178,-4.2048,0.0178,-4.2048
328.0449,0.0282,-4.3135,0.0282,-4.3135
333.9029,0.0378,-4.4202,0.0378,-4.4202
339.7608,0.0467,-4.5247,0.0467,-4.5247
345.6187,0.0548,-4.6274,0.0548,-4.6274
351.4767,0.0623,-4.7282,0.0623,-4.7282
357.3346,0.0692,-4.8274,0.0692,-4.8274
363.1926,0.0755,-4.9249,0.0755,-4.9249
369.0505,0.0814,-5.0210,0.0814,-5.0210
374.9085,0.0869,-5.1156,0.0869,-5.1156
380.7664,0.0919,-5.2089,0.0919,-5.2089
386.6244,0.0966,-5.3010,0.0966,-5.3010
392.4823,0.1010,-5.3920,0.1010,-5.3920
398.3402,0.1050,-5.4818,0.1050,-5.4818
404.1982,0.1088,-5.5706,0.1088,-5.5706
410.0561,0.1122,-5.6585,0.1122,-5.6585
415.9141,0.1155,-5.7455,0.1155,-5.7455
421.7720,0.1185,-5.8317,0.1185,-5.8317
427.6300,0.1214,-5.9170,0.1214,-5.9170
433.4879,0.1240,-6.0017,0.1240,-6.0017
439.3459,0.1265,-6.0856,0.1265,-6.0856
445.2038,0.1288,-6.1689,0.1288,-6.1689
451.0618,0.1309,-6.2516,0.1309,-6.2516
456.9197,0.1329,-6.3337,0.1329,-6.3337
462.7776,0.1348,-6.4154,0.1348,-6.4154
468.6356,0.1366,-6.4965,0.1366,-6.4965
474.4935,0.1382,-6.5771,0.1382,-6.5771
480.3515,0.1397,-6.6573,0.1397,-6.6573
486.2094,0.1412,-6.7371,0.1412,-6.7371
492.0674,0.1425,-6.8165,0.1425,-6.8165
497.9253,0.1438,-6.8955,0.1438,-6.8955
503.7833,0.1450,-6.9742,0.1450,-6.9742
509.6412,0.1461,-7.0526,0.1461,-7.0526
515.4991,0.1472,-7.1307,0.1472,-7.1307
521.3571,0.1482,-7.2085,0.1482,-7.2085
527.2150,0.1491,-7.2861,0.1491,-7.2861
533.0730,0.1500,-7.3634,0.1500,-7.3634
538.9309,0.1508,-7.4404,0.1508,-7.4404
544.7889,0.1515,-7.5173,0.1515,-7.5173
550.6468,0.1522,-7.5939,0.1522,-7.5939
556.5048,0.1529,-7.6704,0.1529,-7.6704
562.3627,0.1535,-7.7467,0.1535,-7.7467
568.2206,0.1541,-7.8228,0.1541,-7.8228
574.0786,0.1547,-7.8987,0.1547,-7.8987
579.9365,0.1552,-7.9746,0.1552,-7.9746
585.7945,0.1557,-8.0502,0.1557,-8.0502
591.6524,0.1561,-8.1258,0.1561,-8.1258
597.5104,0.1565,-8.2012,0.1565,-8.2012
603.3683,0.1569,-8.2765,0.1569,-8.2765
609.2263,0.1573,-8.3517,0.1573,-8.3517
615.0842,0.1576,-8.4268,0.1576,-8.4268
620.9422,0.1580,-8.5018,0.1580,-8.5018
626.8001,0.1583,-8.5767,0.1583,-8.5767
632.6580,0.1585,-8.6515,0.1585,-8.6515
638.5160,0.1588,-8.7262,0.1588,-8.7262
644.3739,0.1590,-8.8009,0.1590,-8.8009
650.2319,0.1592,-8.8755,0.1592,-8.8755
656.0898,0.1594,-8.9501,0.1594,-8.9501
661.9478,0.1596,-9.0246,0.1596,-9.0246
667.8057,0.1598,-9.0990,0.1598,-9.0990
673.6637,0.1599,-9.1734,0.1599,-9.1734
679.5216,0.1600,-9.2477,0.1600,-9.2477
685.3795,0.1602,-9.3220,0.1602,-9.3220
691.2375,0.1603,-9.3963,0.1603,-9.3963
697.0954,0.1604,-9.4705,0.1604,-9.4705
702.9534,0.1604,-9.5446,0.1604,-9.5446
708.8113,0.1605,-9.6188,0.1605,-9.6188
714.6693,0.1606,-9.6929,0.1606,-9.6929
720.5272,0.1606,-9.7670,0.1606,-9.7670
726.3852,0.1606,-9.8411,0.1606,-9.8411
732.2431,0.1607,-9.9151,0.1607,-9.9151
738.1010,0.1607,-9.9891,0.1607,-9.9891
743.9590,0.1607,-10.0631,0.1607,-10.0631
749.8169,0.1607,-10.1371,0.1607,-10.1371
755.6749,0.1607,-10.2110,0.1607,-10.2110
761.5328,0.1607,-10.2850,0.1607,-10.2850
767.3908,0.1606,-10.3589,0.1606,-10.3589
773.2487,0.1606,-10.4328,0.1606,-10.4328
779.1067,0.1606,-10.5067,0.1606,-10.5067
784.9646,0.1605,-10.5806,0.1605,-10.5806
790.8226,0.1605,-10.6545,0.1605,-10.6545
796.6805,0.1604,-10.7284,0.1604,-10.7284
802.5384,0.1603,-10.8023,0.1603,-10.8023
808.3964,0.1603,-10.8762,0.1603,-10.8762
814.2543,0.1602,-10.9500,0.1602,-10.9500
820.1123,0.1601,-11.0239,0.1601,-11.0239
825.9702,0.1600,-11.0978,0.1600,-11.0978
831.8282,0.1599,-11.1716,0.1599,-11.1716
837.6861,0.1598,-11.2455,0.1598,-11.2455
843.5441,0.1597,-11.3193,0.1597,-11.3193
849.4020,0.1596,-11.3932,0.1596,-11.3932
855.2599,0.1595,-11.4670,0.1595,-11.4670
861.1179,0.1594,-11.5409,0.1594,-11.5409
866.9758,0.1592,-11.6148,0.1592,-11.6148
872.8338,0.1591,-11.6886,0.1591,-11.6886
878.6917,0.1590,-11.7625,0.1590,-11.7625
884.5497,0.1588,-11.8364,0.1588,-11.8364
890.4076,0.1587,-11.9103,0.1587,-11.9103
896.2656,0.1585,-11.9841,0.1585,-11.9841
902.1235,0.1584,-12.0580,0.1584,-12.0580
907.9814,0.1582,-12.1319,0.1582,-12.1319
913.8394,0.1581,-12.2058,0.1581,-12.2058
919.6973,0.1579,-12.2797,0.1579,-12.2797
925.5553,0.1577,-12.3536,0.1577,-12.3536
931.4132,0.1576,-12.4275,0.1576,-12.4275
937.2712,0.1574,-12.5014,0.1574,-12.5014
943.1291,0.1572,-12.5754,0.1572,-12.5754
948.9871,0.1570,-12.6493,0.1570,-12.6493
954.8450,0.1569,-12.7232,0.1569,-12.7232
