frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
0.0000,6.3972,0.0000,6.0224,0.0000
5.8579,5.3316,-3.1421,5.0370,-1.9042
11.7159,5.2840,1.1349,5.1228,2.8880
17.5738,5.9800,2.9124,5.9296,4.7082
23.4318,6.8257,1.0580,6.8509,2.7076
29.2897,7.5480,-3.5128,7.6219,-2.0539
35.1477,8.0433,-9.8657,8.1490,-8.5884
41.0056,8.2753,-17.2749,8.4026,-16.1600
46.8636,8.2356,-25.1853,8.3780,-24.2091
52.7215,7.9301,-33.1412,8.0831,-32.2840
58.5794,7.3732,-40.7646,7.5342,-40.0119
64.4374,6.5856,-47.7361,6.7525,-47.0737
70.2953,5.5916,-53.7826,5.7630,-53.1988
76.1533,4.4175,-58.6576,4.5926,-58.1426
82.0112,3.0922,-62.1249,3.2703,-61.6690
87.8692,1.6501,-63.9326,1.8307,-63.5280
93.7271,0.1361,-63.7998,0.3198,-63.4385
99.5851,-1.3799,-61.4406,-1.1932,-61.1202
105.4430,-2.7934,-56.6712,-2.6027,-56.3875
111.3010,-3.9638,-49.6358,-3.7682,-49.3919
117.1589,-4.7548,-41.0531,-4.5541,-40.8576
123.0168,-5.1104,-32.1382,-4.9053,-31.9985
128.8748,-5.0916,-24.0560,-4.8833,-23.9782
134.7327,-4.8272,-17.4300,-4.6174,-17.4113
140.5907,-4.4407,-12.3324,-4.2304,-12.3675
146.4486,-4.0160,-8.5429,-3.8060,-8.6283
152.3066,-3.5995,-5.7761,-3.3896,-5.9042
158.1645,-3.2128,-3.7694,-3.0032,-3.9392
164.0225,-2.8638,-2.3219,-2.6545,-2.5299
169.8804,-2.5536,-1.2816,-2.3445,-1.5248
175.7383,-2.2797,-0.5392,-2.0710,-0.8163
181.5963,-2.0390,-0.0148,-1.8306,-0.3249
187.4542,-1.8276,0.3496,-1.6194,0.0075
193.3122,-1.6417,0.5948,-1.4335,0.2219
199.1701,-1.4782,0.7519,-1.2702,0.3494
205.0281,-1.3341,0.8443,-1.1261,0.4108
210.8860,-1.2066,0.8886,-0.9989,0.4272
216.7440,-1.0940,0.8970,-0.8862,0.4070
222.6019,-0.9940,0.8790,-0.7862,0.3615
228.4598,-0.9049,0.8421,-0.6971,0.2973
234.3178,-0.8255,0.7921,-0.6179,0.2186
240.1757,-0.7545,0.7307,-0.5468,0.1321
246.0337,-0.6908,0.6648,-0.4832,0.0388
251.8916,-0.6338,0.5934,-0.4263,-0.0573
257.7496,-0.5825,0.5200,-0.3749,-0.1571
